SACC code,Country of birth,Year,Net Migration
7103,India,2019,59810
1101,Australia,2019,18060
5204,Philippines,2019,15350
7105,Nepal,2019,13340
2100,United Kingdom,2019,10670
5105,Vietnam,2019,7470
7107,Sri Lanka,2019,6960
4204,Iraq,2019,6420
9225,South Africa,2019,6380
7106,Pakistan,2019,5600
7103,India,2021,38130
7105,Nepal,2021,20170
6101,China,2021,15150
5204,Philippines,2021,11570
7201,Afghanistan,2021,8050
6102,Hong Kong,2021,8040
5105,Vietnam,2021,6550
7106,Pakistan,2021,6430
5104,Thailand,2021,6080
7107,Sri Lanka,2021,5380
