SACC code(d),Country of birth(d),Year,Net Migration
1201,New Zealand,2010,29040
2100,United Kingdom,2010,24820
6101,China,2010,17680
5204,Philippines,2010,9620
7103,India,2010,9230
1201,New Zealand,2011,34540
2100,United Kingdom,2011,31430
7103,India,2011,18760
6101,China,2011,15510
5204,Philippines,2011,14550
2100,United Kingdom,2012,25020
1201,New Zealand,2012,24740
7103,India,2012,23670
6101,China,2012,22580
5204,Philippines,2012,14210
7103,India,2013,33340
6101,China,2013,30800
5204,Philippines,2013,12830
2100,United Kingdom,2013,12260
5105,Vietnam,2013,8750
6101,China,2014,39070
7103,India,2014,38400
5204,Philippines,2014,12430
2100,United Kingdom,2014,9400
5105,Vietnam,2014,7320
6101,China,2015,45480
7103,India,2015,40860
5204,Philippines,2015,13000
5203,Malaysia,2015,12100
2100,United Kingdom,2015,9140
6101,China,2016,50020
7103,India,2016,49730
7105,Nepal,2016,14880
5204,Philippines,2016,13590
5203,Malaysia,2016,12180
7103,India,2017,55860
6101,China,2017,44610
7105,Nepal,2017,21000
5204,Philippines,2017,12620
5203,Malaysia,2017,9590
7103,India,2018,73190
7105,Nepal,2018,24060
6101,China,2018,20170
5204,Philippines,2018,18400
5105,Vietnam,2018,7880
7103,India,2019,59810
1101,Australia,2019,18060
5204,Philippines,2019,15350
7105,Nepal,2019,13340
2100,United Kingdom,2019,10670
7103,India,2021,38130
7105,Nepal,2021,20170
6101,China,2021,15150
5204,Philippines,2021,11570
7201,Afghanistan,2021,8050
